epoch,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,1.0780295499584132,0.7396473550855832,2.9921657286544874,0.1707047689499724,1.1120585822745372,0.7321267310771814,2.914015062837624,0.16753566140582798,1
1,1.0397054688710916,0.7458707750226783,2.8843413877975785,0.1692114401054525,1.1095029810541555,0.731824412639483,2.866130539320601,0.16641208089678025,2
2,1.0232934009087713,0.7498678299994549,2.8508026865437643,0.1673576847425869,1.0923651047443088,0.7338649859223184,2.8368482971768447,0.16919833197991418,3
3,1.0133460860329064,0.7510821293804667,2.8258726555308353,0.16661061461313278,1.0911817047156787,0.7342983552963065,2.8163428856223014,0.16690400872852146,4
4,1.0051760005759216,0.7528068779891673,2.806277424072591,0.1657658839407766,1.0813020658336188,0.7372983071509249,2.798882127401269,0.16922272668418337,5
5,0.9954772671412306,0.7552196688067269,2.7888953779944456,0.1644768188520226,1.0759749601546087,0.7384021297498096,2.782050499334334,0.1724302562311277,6
6,0.9931054485645908,0.7555384644700747,2.7751955447238497,0.16433806378596008,1.0740484236886627,0.7382014162110739,2.7690658367378713,0.16753072932152327,7
7,0.9864589461980507,0.7583337318473319,2.7629091098068015,0.16291070076544237,1.0619843064954406,0.7409221461760531,2.7575285148386195,0.16899308637347316,8
8,0.9820946651331165,0.758841971180523,2.751270107641706,0.16281997077033517,1.0645327222190406,0.7412110801893291,2.7472135687976116,0.16162116123513415,8
9,0.9770131902213682,0.7599732428926202,2.7416840656950026,0.16214770975857462,1.0655300802306125,0.74094934981269,2.737261507365974,0.16014830637580718,8
10,0.9668252281103915,0.7618020220722235,2.7318204964234716,0.16155711529504785,1.0639203610388857,0.7414088110567563,2.727463865597756,0.16407577647582927,8
11,0.9623914858315423,0.7630744487653374,2.7224003730510673,0.1606672352669693,1.0594823663171968,0.7429898458125712,2.717587844749295,0.16078477923558096,9
12,0.9640420419169449,0.7639302533108441,2.7130448950161705,0.16019444733347338,1.0679611554271295,0.7391597156609382,2.709697421877519,0.167036836158746,9
13,0.9555826875375726,0.7647687630921501,2.7052361125930426,0.15983516137219278,1.0671455428788537,0.7409445108388396,2.7016142385845074,0.16793580900637167,9
14,0.9493267527013495,0.7659498912876187,2.6979387189875594,0.15917484998703169,1.052589011741312,0.7440857089810898,2.6936612377169133,0.164881434872328,10
15,0.944609643475354,0.7672912849843975,2.6894946390302157,0.1584079035411292,1.0587986716314366,0.7452072975007598,2.685399706019971,0.15978679945494298,10
16,0.9406896109120888,0.7685586192765681,2.681444622586169,0.1579683549265963,1.054926639089459,0.7450691449857945,2.6775432783754365,0.16541839146885712,10
17,0.9346477637862601,0.7698094953768243,2.6735342535707325,0.15753772738582394,1.0399072105163023,0.7484008126938483,2.6697377445061994,0.1586561863855736,11
18,0.9314353184218992,0.7703616670454001,2.665992873418753,0.1569052958418132,1.0518666684627533,0.7438798575543636,2.662623294293017,0.16479729335222654,11
19,0.927420655868904,0.7717410867500618,2.6588539964421796,0.15658465341887118,1.0452854569021024,0.7478980153897328,2.6559194278318867,0.15896514812019605,11
20,0.925636777203334,0.7724182961356691,2.652579150219236,0.15626135840373992,1.0491720470158676,0.7469729994069247,2.6494369725681124,0.1583675948750616,11
21,0.9228353318938037,0.7727570394812745,2.6463523499006723,0.15601963325626156,1.0457190971625479,0.7469151704794071,2.6433171752121916,0.16025827775635218,11
22,0.9182106919194523,0.7734523371444636,2.639837872586198,0.15535395741795635,1.04814252869079,0.7459709206905921,2.6371590324720513,0.16091711082936408,11
23,0.917533982654064,0.7744512120061813,2.633999794196128,0.15468294474487143,1.0496816193586902,0.7473469038612024,2.6312978650013186,0.15690740316250626,11
24,0.9096889344136617,0.7759496613760747,2.6282142511818707,0.15426233568853628,1.0384342636716992,0.7492749115848318,2.625280010534906,0.15972026165561815,12
25,0.9076359534124184,0.7759108798605219,2.622309158122382,0.15413460991996467,1.0500584615688575,0.7467828327036699,2.6194884583468854,0.15916705018253666,12
26,0.9028478986774272,0.7769952314692635,2.6164026459163967,0.15347506377542394,1.0447718214047583,0.7495262432475,2.6137097987471867,0.15969715493546766,12
27,0.898945821507981,0.7780804025237589,2.6107941462944977,0.15279345074559883,1.0490881906528222,0.7477574555213881,2.608029969897243,0.1530255828695326,12
28,0.8948184652896652,0.7793729712215365,2.605047118827539,0.1523425872974327,1.0576239276873438,0.7459597303117588,2.6025670393429463,0.15765111157974865,12
29,0.8898269697675231,0.7806544481412755,2.5997753554426657,0.15169650669901824,1.0386407052215776,0.7507963478791967,2.5970600754148685,0.15240236112002106,12
30,0.8897121079658207,0.7803580156907082,2.5942415234084124,0.1519609795930656,1.0552053605255327,0.7468778689681748,2.591712090163988,0.1593048224143608,12
31,0.8847786267162764,0.7817634323268164,2.5892090126967617,0.15147042779061082,1.0463324949145316,0.7485306682652245,2.586639676334713,0.15304207123009017,12
32,0.8834011080495098,0.78143472612078,2.5840108885367976,0.15094041077608333,1.0352048190800767,0.7513077904584329,2.5814140356717137,0.1557060454231472,13
33,0.8816003220646005,0.7824237647766068,2.5788049567143623,0.1506181887627829,1.0341676778699223,0.7527979932966725,2.5763322071354424,0.15387973388018003,14
34,0.8746261784033469,0.7845648230160758,2.5736994607609414,0.14950379718251475,1.0418578493751978,0.7497802944311439,2.571169498240651,0.15430537171865646,14
35,0.8705856311216689,0.7851198179429011,2.5684453668632563,0.14951271540528496,1.0442390256022152,0.7486016270173922,2.5661322231081187,0.1585841051572672,14
